CityState,ZipCode,Lat,Long
Downtown Austin Tx,78701,30.2713,-97.7426
Judges' Hill Tx,78701,30.2713,-97.7426
Old Pecan Street Tx,78701,30.2713,-97.7426
Central East Austin Tx,78702,30.2638,-97.7166
East Cesar Chavez Tx,78702,30.2638,-97.7166
Govalle Tx,78702,30.2638,-97.7166
Old Enfield Tx,78703,30.2907,-97.7648
Old West Austin Tx,78703,30.2907,-97.7648
Tarrytown Tx,78703,30.2907,-97.7648
Bryker Woods Tx,78703,30.2907,-97.7648
Pemberton Heights Tx,78703,30.2907,-97.7648
Barton Hills Tx,78704,30.2428,-97.7658
Bouldin Creek Tx,78704,30.2428,-97.7658
Galindo Tx,78704,30.2428,-97.7658
South Lamar*Spyglass-Barton's Bluffs Tx,78704,30.2428,-97.7658
Travis Heights Tx,78704,30.2428,-97.7658
Zilker Tx,78704,30.2428,-97.7658
South River City Tx,78704,30.2428,-97.7658
North University Tx,78705,30.2896,-97.7396
Shoal Crest Tx,78705,30.2896,-97.7396
Lower Waller Creek Tx,78705,30.2896,-97.7396
French Place Tx,78722,30.2893,-97.715
Windsor Park Tx,78723,30.3085,-97.6849
Mueller Tx,78723,30.3085,-97.6849
Estates of Brentwood Tx,78726,30.43,-97.8326
Canyon Creek Tx,78726,30.43,-97.8326
Original Austin Tx,78727,30.4254,-97.7195
Wells Branch Tx,78728,30.4417,-97.6811
Wells Branch Tx,78728,30.4417,-97.6811
Wells Branch Tx,78728,30.4417,-97.6811
Oakmont Heights Tx,78731,30.3471,-97.7609
Ridgelea Tx,78731,30.3471,-97.7609
Northwest Hills Tx,78731,30.3471,-97.7609
Ridgetop Tx,78732,30.3752,-97.9007
Steiner Ranch Tx,78732,30.3752,-97.9007
Travis Country Tx,78735,30.249,-97.8414
Barton Creek Tx,78735,30.249,-97.8414
Circle C Ranch Tx,78739,30.172,-97.8784
Shady Hollow Tx,78739,30.172,-97.8784
East Riverside-Oltorf Tx,78741,30.2315,-97.7223
Montopolis Tx,78741,30.2315,-97.7223
Dove Springs Tx,78744,30.1876,-97.7472
Southeast Austin Tx,78744,30.1876,-97.7472
Battle Bend Springs Tx,78745,30.2063,-97.7956
East Congress Tx,78745,30.2063,-97.7956
West Congress Tx,78745,30.2063,-97.7956
South Congress Tx,78745,30.2063,-97.7956
South Manchaca Tx,78745,30.2063,-97.7956
Cherry Creek Tx,78745,30.2063,-97.7956
Kincheonville Tx,78745,30.2063,-97.7956
Sunset Valley (incorporated city) Tx,78745,30.2063,-97.7956
Westgate Tx,78745,30.2063,-97.7956
Onion Creek Tx,78747,30.1204,-97.7433
Southpark Meadows Tx,78748,30.1743,-97.8225
Far South Austin/Slaughter-Manchaca Tx,78748,30.1743,-97.8225
Tanglewood Forest Tx,78748,30.1743,-97.8225
Maple Run Tx,78749,30.2166,-97.8508
Sendera Tx,78749,30.2166,-97.8508
Woodstone Village Tx,78749,30.2166,-97.8508
Oak Hill Tx,78749,30.2166,-97.8508
Hyde Park Tx,78751,30.3093,-97.7242
North Campus Tx,78751,30.3093,-97.7242
North Loop Tx,78751,30.3093,-97.7242
Windsor Hills Tx,78753,30.3648,-97.6827
Rosedale Tx,78756,30.3223,-97.739
Brentwood Tx,78756,30.3223,-97.739
Allandale Tx,78757,30.3437,-97.7316
North Shoal Creek Tx,78757,30.3437,-97.7316
Crestview Tx,78757,30.3437,-97.7316
Wooten Tx,78757,30.3437,-97.7316
North Burnet Tx,78758,30.3764,-97.7078
Gracy Woods Tx,78758,30.3764,-97.7078
Balcones Woods Tx,78759,30.4036,-97.7526
Barrington Oaks Tx,78759,30.4036,-97.7526
Great Hills/Arboretum Tx,78759,30.4036,-97.7526